1	15.3	3.2	0	1.5
2	14.3	8.9	0	0.7
3	10	4.5	0	0.9
4	15.3	6.5	0	1.4
5	12.4	8.4	1.8	2.4
6	13.4	8.6	0.78	1.7
7	13.3	9.3	2.51	2.5
8	9.3	6.5	0	4.7
9	7.5	4.9	0.01	1.8
10	8.1	4.2	0	1.6
11	8.6	5.5	0	1.2
12	7.4	5	0	2.2
13	11.1	3.8	0	2.1
14	8	1.2	0	1.5
15	7.4	1.9	0	2
16	8.3	0.3	0	1.3
17	8.2	1.3	0	1.3
18	7.4	6.7	0.44	1.6
19	8	6.5	0	1.4
20	7.3	-0.2	0	3.5
21	7	-3.7	0	1.2
22	6.8	-1.6	0	1.7
23	6.8	-2.9	0	0.9
24	8.9	-1.7	0	1.5
25	11.2	3.7	0	1.3
26	13.5	1.6	0	1.8
27	9.7	2.8	0	1.7
28	15.1	3.5	0	2.4
29	19.8	7	0	2.8
30	8.8	1.6	0.11	2.9
31	7.1	0	0	1.4
32	5.2	2.5	0	1.8
33	8.2	-0.1	0	1.2
34	9	3.3	0.18	1.4
35	8.6	7	0.33	1
36	9.8	4.2	0	1.7
37	9.7	1.7	0	1.7
38	10.4	2.7	0	1.8
39	6.8	2.5	0.69	2
40	5.8	0.7	0.04	4.2
41	6.6	-0.3	0	3.5
42	8.6	0	0	1.1
43	12	-1.6	0	0.9
44	15.5	0.4	0	0.9
45	16.2	0.9	0	0.6
46	16.5	4	0	2.9
47	18.8	9.6	0	3.2
48	15.7	4.7	0.07	2.7
49	13.4	3	0	1.5
50	19	6.1	0	4.4
51	18.3	3.8	0	3.8
52	9.1	3.1	0	3.5
53	10.8	4.2	0.91	3.4
54	6.9	2.7	0	2.6
55	9.7	1.1	0	0.9
56	12.7	1.2	0	1.8
57	15.3	5.5	0	1.5
58	14.8	3	0	1.4
59	15.6	6.1	0	2.3
60	1.67	0.75	0	3
61	1.13	0.29	0	2.4
62	1.45	0.36	0	2.3
63	2.03	0.47	0	0.8
64	1.48	1.01	0.29	0.4
65	1.21	0.52	0	2.2
66	1.47	0.36	0	1.8
67	1.41	0.23	0	1.8
68	1.76	0.41	0	1.1
69	1.64	0.97	0	2.1
70	1.69	0.9	0	3.7
71	1.39	1.09	0.83	3.3
72	1.08	0.67	1.13	2.7
73	1.31	0.47	0	2.4
74	1.44	0.23	0	0.8
75	1.33	0.81	0	1.8
76	1.42	0.46	0	1.8
77	1.38	0.93	0.08	1.4
78	1.19	0.96	0.67	1.7
79	1.21	1.05	1.12	1.8
80	1.58	0.8	0.03	2.9
81	0.98	0.75	0.36	2.3
82	1.11	0.69	0.22	1.6
83	1.21	0.76	0.31	1.4
84	1.47	0.68	0.17	1.7
85	1.83	0.64	0	1.8
86	2.01	0.58	0	1.7
87	2.15	1.2	0	3.5
88	1.81	1.1	0	2.1
89	1.3	0.93	1.17	1.6
90	1.48	0.77	0.88	2.7
91	16.6	5.8	0	1.2
92	21.8	9.1	0	1.6
93	23.3	11.3	0	3.1
94	20	13.8	0	4.3
95	23.3	17.1	0.13	1.9
96	18.6	15.7	0.39	1.3
97	15.8	13.2	0.44	1.2
98	22.2	12.9	0	1.7
99	15.1	11.1	1.37	2.3
100	13.1	9.3	1.7	1.3
101	13.3	9.4	0.51	1.8
102	20.1	10.9	0	1.6
103	22.2	8.6	0	2.4
104	26.6	13.2	0	2.8
105	31.3	16.2	0	1.8
106	29.6	17.1	0	1
107	24.1	18.9	2.12	4.1
108	27.4	16.8	0	2.7
109	25.3	12.1	0	3.6
110	25	17.6	0.11	3.1
111	22.2	16.6	0	2.3
112	20.9	12.6	0	2.1
113	22.9	12.9	0	2.7
114	26.1	14.4	0	2.3
115	23.9	16.5	0.01	1.8
116	20.9	15	0.92	2.1
117	21.5	11.7	0	1.2
118	24.6	12.8	0	2.2
119	28.5	15.8	0	1.6
120	29.5	18	0	2.1
121	29.9	17.1	0	2.5
122	22.8	18.6	0.4	3.3
123	22.9	17.7	0	3.1
124	21.5	19.2	0.66	4.3
125	20.7	17.6	0.02	2.6
126	25.5	16	0	1.4
127	27.4	18.7	0	1.5
128	22.5	15.3	0.47	2.8
129	21.9	17.6	0.22	3.3
130	31.4	14.8	0	2
131	33.4	20.6	0	2.1
132	26.6	17.5	1.64	1.4
133	30.1	16	0	2.1
134	27.6	19.2	0	1.9
135	25.4	18	0	2
136	24.9	18.1	0	1.7
137	27.5	14.4	0	1.8
138	28.8	18.1	0	2.6
139	27.3	19.5	0	3.7
140	28.8	20.8	0	3.5
141	28.3	20.7	0	2.9
142	29.3	20.7	0	3.2
143	25	20.4	2.41	2.3
144	23	19	0.31	1.8
145	29.5	15.8	0	1
146	27.8	18	0	1.4
147	31.9	18.3	0	1.8
148	32.7	21	0	2.4
149	32.2	20.4	0	2.3
150	31.9	21.7	0	3.5
151	33.3	25.2	0	1.8
152	31.4	24.9	0	1.6
153	29.8	22.3	0	2.6
154	31.4	21.1	0	2.4
155	28.1	19.6	0	3
156	22.8	18	1.87	3.1
157	26.6	19	0.03	3.4
158	27.3	19.7	0	2.9
159	30.4	19.8	0	1.1
160	31.6	22.9	0	2.2
161	27.6	22.6	6.83	1.5
162	28.4	21.7	0.45	2
163	24.6	19.8	0.68	2.8
164	22.5	20.7	0.52	1.9
165	26	20.1	0	1.8
166	27.8	18.5	0	1.5
167	27.3	20	0	1.7
168	29.9	18.5	0	1.6
169	28.3	21.8	0	3.5
170	25.1	23.1	0.74	2.2
171	30.3	23.1	0.53	0.9
172	26.6	23.4	0.01	2.1
173	25	22.5	0.19	2
174	26.4	23.3	0.19	1
175	29.2	22.3	0.19	1.9
176	27.8	25.2	0.03	1.8
177	29.3	23.4	0	1.5
178	30.8	23.6	0	2
179	27.2	23.6	0	1.9
180	28.8	21.9	0	2
181	32.4	23.2	1.22	1.1
182	30.6	23.8	1.1	1
183	32.8	24.2	0	1.9
184	34	25.2	0.07	1.9
185	32.5	27.7	0	2.5
186	36.2	26.9	0.03	1.7
187	35	25	0.45	2.3
188	36	29.1	0	2.3
189	34.9	30.2	0	2.4
190	33.9	29.2	0	2.6
191	31.9	26.6	0.08	2.4
192	34.9	25.9	0	1.6
193	37.1	28.1	0	1.8
194	36.8	30.1	0	2
195	38.1	30.8	0	2.1
196	38	29.6	0	3
197	37.5	29	0	2.9
198	36.7	29.9	0	3
199	36.5	29.9	0.03	2.2
200	37.2	30	0.16	1.7
201	38.7	29.7	0	1.5
202	39.6	30.9	0	2.1
203	40	31.7	0	1.8
204	40.2	30.5	0	1.5
205	40.3	30.6	0	1.7
206	40.2	31.2	0	2
207	38.3	29.5	0	1.8
208	38.5	30	0	1.6
209	37.4	29.4	0	2.2
210	35.3	27	2.19	2.1
211	34.7	28.1	0.11	2.5
212	35.3	29.3	0.01	4.9
213	34.3	29.2	0	4.9
214	34.9	29.3	0	5.2
215	37.2	28.8	0	3.2
216	37.6	29.4	0.68	1
217	36.3	28.2	1.46	0.7
218	36.6	29	0	1.7
219	37.9	29.7	0	0.9
220	35.2	25	1.95	2.2
221	29.3	25.5	3.36	1.2
222	34.4	26.4	0	2
223	36.4	27.5	0.06	1.3
224	30.1	25.8	1.39	2.8
225	33.9	28	0	2.4
226	32.4	26.8	0.01	2.4
227	32.5	26.2	0.03	2.4
228	31.6	25.2	2.24	1.2
229	32.8	24.3	0	1.2
230	34.5	24.5	1.62	1.5
231	36.2	28.5	0	2.7
232	32.5	23	5.77	1.8
233	33.1	26	0.9	1.2
234	34.6	27.1	0	2.9
235	34.2	28.6	0	3.6
236	36.2	28.5	0	2.6
237	35.2	28.2	0	1.3
238	30.2	26	0	2.6
239	34.4	26.6	0	2.4
240	37.3	28.2	0	1.9
241	32.7	25.4	0.05	2.3
242	26.7	24.7	0	2.2
243	26.2	23.8	0	1.2
244	29.5	23.3	0	2.4
245	28.9	21.5	0	1.4
246	28.4	23.6	0.15	1.7
247	30.7	24.7	0	3.1
248	34.4	25.6	0	1.3
249	29.7	24.3	0.17	1.2
250	26.8	23.3	0.35	1.4
251	29.9	21.3	0	1.5
252	26.7	24.7	0	1.8
253	33.4	24.7	0.26	2.6
254	27	22.9	0.35	2.3
255	29.4	21.2	0	1.4
256	29.7	21.7	0	2.5
257	29.1	20.3	0	3.2
258	27	21.8	0.02	3
259	28.1	21.8	0	2.6
260	28.7	20.1	0	2
261	31.7	20	0	1.7
262	29.8	24.2	0	1.2
263	26.1	19.3	3.02	1.6
264	23.6	19.4	0.1	1.2
265	26.6	21.1	0	1.2
266	22.9	20	0.36	2.1
267	22.8	19.8	6.38	1.5
268	24.5	22.8	7.59	1.2
269	32.3	23.3	3.41	1.1
270	29	22.2	0.04	2.6
271	25.2	18.5	0.16	1.7
272	25.7	15.5	0	1
273	22.7	18.9	1.32	2.9
274	31.3	21.3	0.08	2.7
275	26.1	21.3	0.75	1.7
276	22.5	20.2	0	2.6
277	21.9	17.6	0	2
278	19.3	16	0.01	1.3
279	23.2	16.7	0	2.2
280	26.1	16.3	0	1
281	28.6	19.2	0	1.7
282	30.1	20.3	0	2.6
283	31.3	24.5	0.71	2.2
284	26.4	18.5	0.24	2.1
285	18.7	16.1	0.08	2.6
286	20.9	15.1	0	2.2
287	22.9	17.9	0	2.5
288	18.6	15.5	1.1	3.3
289	18.5	16.1	2.51	3.2
290	19.1	16.4	0.18	2.5
291	21.7	16.9	0	1.5
292	20.6	16.2	0	2.5
293	22.1	17.1	0	1.6
294	22.5	14.8	0	1.6
295	21.8	14.9	0	2.5
296	18.4	14.1	0	2
297	20.4	12.2	0	1.5
298	21.9	10.2	0	1.2
299	22.5	12.9	0	1.1
300	21.9	13.5	0	0.9
301	22.6	14.3	0	1.5
302	18.5	13.2	0	2.9
303	16.3	10	0	1.9
304	18.9	7.8	0	1
305	22.3	10.3	0	1.4
306	23.8	11.6	0	0.8
307	23.2	12.4	0	1.8
308	16.1	10.1	0	1.8
309	16	8.3	0	1
310	21.8	10.6	0	1.2
311	20.9	16.9	0	1.4
312	22.8	14.5	0	1.6
313	21.8	9.9	0	1.6
314	20.4	14.5	0	2
315	17.6	10.9	0	1.6
316	19.1	11.2	0	0.9
317	19.8	14	0.52	1.4
318	17.4	14.7	0.16	1.5
319	18.7	13.2	0	0.8
320	16.3	13.6	0.57	2.2
321	17.4	14.3	1.28	1.8
322	14.7	6.9	0.83	2.6
323	11.6	3.9	0	1.8
324	11.8	6.8	0.17	1.3
325	10.4	5.7	0.13	0.8
326	14.3	9.4	1.3	2.9
327	13.2	6.4	0	1.8
328	14.7	3.8	0	1.2
329	16.1	8.2	0	1.3
330	17.9	7.8	0	1.9
331	17.7	6.3	0	1.7
332	17.1	13.3	0.34	1.4
333	14	11.5	0	2.5
334	11.5	7.2	0.01	2.6
335	11.6	6.7	0	1.3
336	10.8	3.6	0	0.7
337	15.5	8.4	0	0.5
338	12.4	6.7	0	2.3
339	8.2	1.9	0	2.2
340	11.6	-0.2	0	1.3
341	10.7	2.2	0	0.8
342	8.3	4	0	3
343	9.8	-0.6	0	1.2
344	12.8	5.7	0	2.2
345	11.8	0.6	0	0.4
346	10	2.5	0	1.7
347	11	1.4	0	1.7
348	8.1	5.8	0.12	1.7
349	8.1	6.4	0.78	1.4
350	6.9	3	0.03	2.2
351	5	-0.7	0	1.9
352	7.9	-2.8	0	1.2
353	10.2	0.7	0	1.3
354	11.5	-1.1	0	1.7
355	11.8	-0.6	0	0.9
356	15	1.5	0	1.7
357	17.9	8.8	0	1.9
358	15.1	8.4	0	3.7
359	10	1.5	0	1
360	11.8	1.2	0	0.9
361	11.5	0.9	0	1
362	10.6	7.8	0.61	2.6
